Country,Source (Ethnicity Data),Date (Ethnicity Data),Ethnic,Language,Religion
Guinea-Bissau,eb,1979,0.8082,0.8141,0.6128
Guyana,eb,1993,0.6195,0.0688,0.7876
Haiti,eb,1993,0.095,0,0.4704
Honduras,eb,1987,0.1867,0.0553,0.2357
Hong Kong,wdm,1994,0.062,0.2128,0.4191
Hungary,eb,1993,0.1522,0.0297,0.5244
Iceland,eb,1995,0.0798,0.082,0.1913
India,eb,2000,0.4182,0.8069,0.326
Indonesia,eb,1990,0.7351,0.768,0.234
Iran,eb,1995,0.6684,0.7462,0.1152
Iraq,eb,1983,0.3689,0.3694,0.4844
Ireland,eb,1995,0.1206,0.0312,0.155
Isle of Man,0,0,0,0,0.4729
Israel,census,1995,0.3436,0.5525,0.3469
Italy,eb,1983,0.1145,0.1147,0.3027
Jamaica,eb,1982,0.4129,0.1098,0.616
Japan,cia,1999,0.0119,0.0178,0.5406
Jersey,0,0,0,0,0.5479
Jordan,wdm,1993,0.5926,0.0396,0.0659
Kazakhstan,cia,1999,0.6171,0.6621,0.5898
Kenya,cia,2001,0.8588,0.886,0.7765
Kiribati,eb,1990,0.0511,0.0237,0.5541
"Korea, North",eb,1995,0.0392,0.0028,0.4891
"Korea, South",eb,1990,0.002,0.0021,0.6604
Kyrgyzstan,cia,2001,0.6752,0.5949,0.447
Kuwait,cia,2001,0.6604,0.3444,0.6745
Lao People's Dem Rep,eb,1983,0.5139,0.6382,0.5453
Latvia,eb,1996,0.5867,0.5795,0.5556
Lebanon,eb,1996,0.1314,0.1312,0.7886
Lesotho,eb,1986,0.255,0.2543,0.7211
Liberia,wdm,1992,0.9084,0.9038,0.4883
Libya,eb,1995,0.792,0.0758,0.057
Liechtenstein,eb,1997,0.5726,0.2246,0.3343
Lithuania,eb,1996,0.3223,0.3219,0.4141
Luxembourg,eb,1996,0.5302,0.644,0.0911
Macau,0,0,0,0.2519,0.5511
Macedonia (Former Yug. Rep),eb,1994,0.5023,0.5021,0.5899
Madagascar,lev,1985,0.8791,0.0204,0.5191
Malawi,lev,1998,0.6744,0.6023,0.8192
Malaysia,eb,1996,0.588,0.597,0.6657
Mali,cia,1996,0.6906,0.8388,0.182
Malta,lev,1996,0.0414,0.0907,0.1223
Marshall Islands,eb,1988,0.0603,0.0601,0.5207
Martinique,0,0,0,0.0653,0.2336
Mauritania,wdm,1992,0.615,0.326,0.0149
Mauritius,eb,1992,0.4634,0.4547,0.6385
Mayotte,0,0,0,0.7212,0.062
Mexico,eb,1990,0.5418,0.1511,0.1796
Micronesia,eb,1994,0.7005,0.7483,0.6469
Moldova,eb,1989,0.5535,0.5533,0.5603
Monaco,cia,2001,0.6838,0.7305,0.3047
Mongolia,eb,1989,0.3682,0.3734,0.0799
Morocco,wdm,1994,0.4841,0.4683,0.0035
Mozambique,eb,1983,0.6932,0.8125,0.6759
Myanmar (Burma),eb,1983,0.5062,0.5072,0.1974
Namibia,wdm,1995,0.6329,0.7005,0.6626
Nauru,cia,1995,0.5832,0.6161,0.6194
Nepal,eb,1991,0.6632,0.7167,0.1417
Netherlands Antilles,0,0,0,0.2508,0.3866
Netherlands,lev,1995,0.1054,0.5143,0.7222
New Caledonia,0,0,0,0.6633,0.5462
New Zealand,census,1996,0.3969,0.1657,0.811
Nicaragua,eb,1991,0.4844,0.0473,0.429
Niger,eb,1988,0.6518,0.6519,0.2013
Nigeria,eb,1983,0.8505,0.8503,0.7421
Northern Mariana Islands,0,0,0,0.7754,0.4811
Norway,lev,1998,0.0586,0.0673,0.2048
Oman,eb,1993,0.4373,0.3567,0.4322
Pakistan,wdm,1995,0.7098,0.719,0.3848
Palau,cia,2000,0.4312,0.3157,0.7147
Panama,eb,1992,0.5528,0.3873,0.3338
Papua New Guinea,eb,1993,0.2718,0.3526,0.5523
Paraguay,lev,1998,0.1689,0.5975,0.2123
Peru,eb,1981,0.6566,0.3358,0.1988
Philippines,lev,1998,0.2385,0.836,0.3056
Poland,lev,1998,0.1183,0.0468,0.1712
Portugal,lev,1998,0.0468,0.0198,0.1438
Puerto Rico,0,0,0,0.0352,0.4952
Qatar,cia,2001,0.7456,0.48,0.095
Reunion,0,0,0,0.1578,0.1952
Romania,lev,1998,0.3069,0.1723,0.2373
Russian Federation,eb,1997,0.2452,0.2485,0.4398
Rwanda,eb,1996,0.3238,0,0.5066
Saint Lucia,eb,1990,0.1769,0.3169,0.332
Saint Vincent and Grenadines,eb,1995,0.3066,0.0175,0.7028
Western Samoa,eb,1995,0.1376,0.0111,0.7871
San Marino,eb,1997,0.2927,0,0.1975
Sao Tome and Principe,0,0,0,0.2322,0.1866
Saudi Arabia,eb,1995,0.18,0.0949,0.127
Senegal,eb,1988,0.6939,0.6961,0.1497
Serbia/Montenegro (Yugoslavia),eb,1991,0.5736,0,0
Seychelles,eb,1983,0.2025,0.1606,0.2323
Sierra Leone,wdm,1993,0.8191,0.7634,0.5395
Singapore,cia,2001,0.3857,0.3835,0.6561
Slovak Republic,eb,1996,0.2539,0.2551,0.5655
Slovenia,cia,1991,0.2216,0.2201,0.2868
Solomon Islands,eb,1986,0.111,0.5254,0.6708
Somalia,sm,1999,0.8117,0.0326,0.0028
South Africa,lev,1998,0.7517,0.8652,0.8603
Spain,eb,1991,0.4165,0.4132,0.4514
Sri Lanka,cia,2001,0.415,0.4645,0.4853
St Kitts & Nevis,lev,1998,0.1842,0,0.6614
Sudan,eb,1983,0.7147,0.719,0.4307
Suriname,cia,2001,0.7332,0.331,0.791
Swaziland,cia,2001,0.0582,0.1722,0.4444
Sweden,lev,1998,0.06,0.1968,0.2342
Switzerland,cia,2001,0.5314,0.5441,0.6083
Syria,wdm,1993,0.5399,0.1817,0.431
Taiwan,cia,2001,0.2744,0.5028,0.6845
Tajikistan,cia,2001,0.5107,0.5473,0.3386
Tanzania,eb,1995,0.7353,0.8983,0.6334
Thailand,eb,1983,0.6338,0.6344,0.0994
Togo,eb,1995,0.7099,0.898,0.6596
Tonga,eb,1995,0.0869,0.3782,0.6214
Trinidad and Tobago,cia,2001,0.6475,0.1251,0.7936
Tunisia,cia,2001,0.0394,0.0124,0.0104
Turkey,cia,2001,0.32,0.2216,0.0049
Turkmenistan,eb,1997,0.3918,0.3984,0.2327
Tuvalu,eb,1979,0.1629,0.1372,0.2524
Uganda,eb,1983,0.9302,0.9227,0.6332
Ukraine,eb,1998,0.4737,0.4741,0.6157
United Arab Emirates,eb,1993,0.6252,0.4874,0.331
United Kingdom,eb,1994,0.1211,0.0532,0.6944
United States,census,2000,0.4901,0.2514,0.8241
Uruguay,eb,1990,0.2504,0.0817,0.3548
Uzbekistan,eb,1995,0.4125,0.412,0.2133
Vanuatu,eb,1989,0.0413,0.5794,0.7044
Venezuela,eb,1993,0.4966,0.0686,0.135
Vietnam,eb,1995,0.2383,0.2377,0.508
Virgin Islands (U.S.),0,0,0,0.314,0.6359
West Bank,0,0,0,0.1438,0.3095
Yemen,0,0,0,0.008,0.0023
Yugoslavia (pre 1991),eb,1995,0.8092,0.405,0.553
Zambia,lev,1998,0.7808,0.8734,0.7359
Zimbabwe,lev,1998,0.3874,0.4472,0.7363
