Year,Country / territory of asylum/residence,Origin,Population type,Value
2013,Australia,Bhutan,Asylum-seekers,1
2013,Australia,Bhutan,Refugees (incl. refugee-like situations),2
2013,Australia,Botswana,Asylum-seekers,1
2013,Australia,Botswana,Refugees (incl. refugee-like situations),1
2013,Australia,Canada,Asylum-seekers,4
2013,Australia,Chile,Refugees (incl. refugee-like situations),1
2013,Australia,China,Asylum-seekers,1401
2013,Australia,China,Refugees (incl. refugee-like situations),2820
2013,Australia,Côte d'Ivoire,Asylum-seekers,1
2013,Australia,Côte d'Ivoire,Refugees (incl. refugee-like situations),6
2013,Australia,Cameroon,Asylum-seekers,5
2013,Australia,Cameroon,Refugees (incl. refugee-like situations),52
2013,Australia,Dem. Rep. of the Congo,Asylum-seekers,9
2013,Australia,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),28
2013,Australia,Congo,Asylum-seekers,3
2013,Australia,Congo,Refugees (incl. refugee-like situations),16
2013,Australia,Cook Islands,Asylum-seekers,0
2013,Australia,Colombia,Asylum-seekers,37
2013,Australia,Colombia,Refugees (incl. refugee-like situations),124
2013,Australia,Costa Rica,Asylum-seekers,1
2013,Australia,Cuba,Asylum-seekers,0
2013,Australia,Cuba,Refugees (incl. refugee-like situations),3
2013,Australia,Cyprus,Asylum-seekers,0
2013,Australia,Czech Rep.,Refugees (incl. refugee-like situations),1
2013,Australia,Germany,Asylum-seekers,4
2013,Australia,Germany,Refugees (incl. refugee-like situations),2
2013,Australia,Djibouti,Asylum-seekers,1
2013,Australia,Djibouti,Refugees (incl. refugee-like situations),2
2013,Australia,Denmark,Refugees (incl. refugee-like situations),2
2013,Australia,Algeria,Asylum-seekers,9
2013,Australia,Algeria,Refugees (incl. refugee-like situations),10
2013,Australia,Ecuador,Refugees (incl. refugee-like situations),3
2013,Australia,Egypt,Asylum-seekers,706
2013,Australia,Egypt,Refugees (incl. refugee-like situations),1132
2013,Australia,Eritrea,Asylum-seekers,31
2013,Australia,Eritrea,Refugees (incl. refugee-like situations),91
2013,Australia,Western Sahara,Asylum-seekers,2
2013,Australia,Spain,Asylum-seekers,0
2013,Australia,Estonia,Asylum-seekers,1
2013,Australia,Ethiopia,Asylum-seekers,104
2013,Australia,Ethiopia,Refugees (incl. refugee-like situations),191
2013,Australia,Fiji,Asylum-seekers,403
2013,Australia,Fiji,Refugees (incl. refugee-like situations),324
2013,Australia,France,Asylum-seekers,1
2013,Australia,France,Refugees (incl. refugee-like situations),4
2013,Australia,United Kingdom,Asylum-seekers,10
2013,Australia,United Kingdom,Refugees (incl. refugee-like situations),4
2013,Australia,Georgia,Asylum-seekers,23
2013,Australia,Georgia,Refugees (incl. refugee-like situations),9
2013,Australia,Ghana,Asylum-seekers,25
2013,Australia,Ghana,Refugees (incl. refugee-like situations),34
2013,Australia,Guinea,Asylum-seekers,7
2013,Australia,Guinea,Refugees (incl. refugee-like situations),6
2013,Australia,Gambia,Refugees (incl. refugee-like situations),3
2013,Australia,Greece,Asylum-seekers,3
2013,Australia,Greece,Refugees (incl. refugee-like situations),2
2013,Australia,Guatemala,Asylum-seekers,1
2013,Australia,"China, Hong Kong SAR",Asylum-seekers,13
2013,Australia,Croatia,Refugees (incl. refugee-like situations),3
2013,Australia,Indonesia,Asylum-seekers,150
2013,Australia,Indonesia,Refugees (incl. refugee-like situations),233
2013,Australia,India,Asylum-seekers,839
2013,Australia,India,Refugees (incl. refugee-like situations),265
2013,Australia,Ireland,Asylum-seekers,9
2013,Australia,Iran (Islamic Rep. of),Asylum-seekers,1154
2013,Australia,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),4596
2013,Australia,Iraq,Asylum-seekers,584
2013,Australia,Iraq,Refugees (incl. refugee-like situations),2963
2013,Australia,Israel,Asylum-seekers,6
2013,Australia,Israel,Refugees (incl. refugee-like situations),36
2013,Australia,Italy,Asylum-seekers,3
2013,Australia,Italy,Refugees (incl. refugee-like situations),2
2013,Australia,Jamaica,Asylum-seekers,1
2013,Australia,Jordan,Asylum-seekers,97
2013,Australia,Jordan,Refugees (incl. refugee-like situations),90
2013,Australia,Japan,Asylum-seekers,7
2013,Australia,Japan,Refugees (incl. refugee-like situations),5
2013,Australia,Kazakhstan,Refugees (incl. refugee-like situations),4
2013,Australia,Kenya,Asylum-seekers,49
2013,Australia,Kenya,Refugees (incl. refugee-like situations),58
2013,Australia,Kyrgyzstan,Refugees (incl. refugee-like situations),8
2013,Australia,Cambodia,Asylum-seekers,24
2013,Australia,Cambodia,Refugees (incl. refugee-like situations),23
2013,Australia,Kiribati,Asylum-seekers,1
2013,Australia,Rep. of Korea,Asylum-seekers,89
2013,Australia,Rep. of Korea,Refugees (incl. refugee-like situations),42
2013,Australia,Kuwait,Asylum-seekers,3
2013,Australia,Kuwait,Refugees (incl. refugee-like situations),41
2013,Australia,Lao People's Dem. Rep.,Asylum-seekers,2
2013,Australia,Lao People's Dem. Rep.,Refugees (incl. refugee-like situations),2
2013,Australia,Lebanon,Asylum-seekers,359
2013,Australia,Lebanon,Refugees (incl. refugee-like situations),346
2013,Australia,Liberia,Asylum-seekers,10
2013,Australia,Liberia,Refugees (incl. refugee-like situations),23
2013,Australia,Libya,Asylum-seekers,313
2013,Australia,Libya,Refugees (incl. refugee-like situations),309
2013,Australia,Sri Lanka,Asylum-seekers,1890
2013,Australia,Sri Lanka,Refugees (incl. refugee-like situations),3313
2013,Australia,Lithuania,Asylum-seekers,1
2013,Australia,Latvia,Asylum-seekers,1
2013,Australia,Latvia,Refugees (incl. refugee-like situations),6
2013,Australia,Morocco,Asylum-seekers,5
2013,Australia,Morocco,Refugees (incl. refugee-like situations),18
2013,Australia,Rep. of Moldova,Asylum-seekers,1
2013,Australia,Maldives,Asylum-seekers,5
2013,Australia,Maldives,Refugees (incl. refugee-like situations),4
2013,Australia,Mexico,Asylum-seekers,1
2013,Australia,Mexico,Refugees (incl. refugee-like situations),3
2013,Australia,The former Yugoslav Republic of Macedonia,Asylum-seekers,2
2013,Australia,Mali,Asylum-seekers,1
2013,Australia,Mali,Refugees (incl. refugee-like situations),2
2013,Australia,Malta,Refugees (incl. refugee-like situations),1
2013,Australia,Myanmar,Asylum-seekers,74
2013,Australia,Myanmar,Refugees (incl. refugee-like situations),513
2013,Australia,Mongolia,Asylum-seekers,23
2013,Australia,Mongolia,Refugees (incl. refugee-like situations),50
2013,Australia,Mozambique,Asylum-seekers,1
2013,Australia,Mozambique,Refugees (incl. refugee-like situations),5
2013,Australia,Mauritius,Asylum-seekers,16
2013,Australia,Mauritius,Refugees (incl. refugee-like situations),1
2013,Australia,Malawi,Asylum-seekers,1
2013,Australia,Malaysia,Asylum-seekers,169
2013,Australia,Malaysia,Refugees (incl. refugee-like situations),86
2013,Australia,Namibia,Asylum-seekers,0
2013,Australia,Niger,Asylum-seekers,0
2013,Australia,Niger,Refugees (incl. refugee-like situations),2
2013,Australia,Nigeria,Asylum-seekers,103
2013,Australia,Nigeria,Refugees (incl. refugee-like situations),132
2013,Australia,Netherlands,Asylum-seekers,0
2013,Australia,Netherlands,Refugees (incl. refugee-like situations),2
2013,Australia,Norway,Asylum-seekers,1
2013,Australia,Nepal,Asylum-seekers,300
2013,Australia,Nepal,Refugees (incl. refugee-like situations),197
2013,Australia,New Zealand,Asylum-seekers,7
2013,Australia,New Zealand,Refugees (incl. refugee-like situations),4
2013,Australia,Oman,Asylum-seekers,1
2013,Australia,Pakistan,Asylum-seekers,1375
2013,Australia,Pakistan,Refugees (incl. refugee-like situations),2608
2013,Australia,Peru,Asylum-seekers,14
2013,Australia,Peru,Refugees (incl. refugee-like situations),2
2013,Australia,Philippines,Asylum-seekers,52
2013,Australia,Philippines,Refugees (incl. refugee-like situations),30
2013,Australia,Papua New Guinea,Asylum-seekers,144
2013,Australia,Papua New Guinea,Refugees (incl. refugee-like situations),219
2013,Australia,Poland,Asylum-seekers,3
2013,Australia,Poland,Refugees (incl. refugee-like situations),1
2013,Australia,Dem. People's Rep. of Korea,Asylum-seekers,1
2013,Australia,Dem. People's Rep. of Korea,Refugees (incl. refugee-like situations),30
2013,Australia,Portugal,Asylum-seekers,2
2013,Australia,Palestinian,Asylum-seekers,84
2013,Australia,Palestinian,Refugees (incl. refugee-like situations),238
2013,Australia,Romania,Asylum-seekers,2
2013,Australia,Romania,Refugees (incl. refugee-like situations),12
2013,Australia,Russian Federation,Asylum-seekers,28
2013,Australia,Russian Federation,Refugees (incl. refugee-like situations),66
2013,Australia,Rwanda,Asylum-seekers,21
2013,Australia,Rwanda,Refugees (incl. refugee-like situations),27
2013,Australia,Saudi Arabia,Asylum-seekers,18
2013,Australia,Saudi Arabia,Refugees (incl. refugee-like situations),49
2013,Australia,Sudan,Asylum-seekers,19
2013,Australia,Sudan,Refugees (incl. refugee-like situations),56
2013,Australia,Senegal,Asylum-seekers,0
2013,Australia,Senegal,Refugees (incl. refugee-like situations),6
2013,Australia,Singapore,Asylum-seekers,9
2013,Australia,Solomon Islands,Asylum-seekers,7
2013,Australia,Solomon Islands,Refugees (incl. refugee-like situations),15
2013,Australia,Sierra Leone,Asylum-seekers,9
2013,Australia,Sierra Leone,Refugees (incl. refugee-like situations),33
2013,Australia,El Salvador,Asylum-seekers,3
2013,Australia,El Salvador,Refugees (incl. refugee-like situations),5
2013,Australia,Somalia,Asylum-seekers,39
2013,Australia,Somalia,Refugees (incl. refugee-like situations),67
2013,Australia,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,3
2013,Australia,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),77
2013,Australia,South Sudan,Asylum-seekers,1
2013,Australia,Sweden,Refugees (incl. refugee-like situations),1
2013,Australia,Syrian Arab Rep.,Asylum-seekers,139
2013,Australia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),265
